preco;ano;kms;cidade;estado;modelo_carro;marca
3675;2006;136495;Murray; UT;Accord;Honda
4671;2006;120823;N Lauderdale; FL;Accord;Honda
4825;2007;120893;Dallas; TX;Accord;Honda
4900;2006;139585;Homestead; FL;Accord;Honda
4900;2006;81300;Rahway; NJ;Accord;Honda
4900;2007;144619;Paterson; NJ;Accord;Honda
4997;2006;127498;Denville; NJ;Accord;Honda
4999;2006;141076;Garland; TX;Accord;Honda
5275;2007;113355;Columbus; OH;Accord;Honda
5295;2006;133853;Hackettstown; NJ;Accord;Honda
5445;2006;132205;Hasbrouck Heights; NJ;Accord;Honda
5450;2006;99982;Paterson; NJ;Accord;Honda
5450;2007;137593;Levittown; PA;Accord;Honda
5490;2006;117473;Wantagh; NY;Accord;Honda
5490;2007;137622;Manchester; CT;Accord;Honda
5494;2010;134618;North Miami; FL;Accord;Honda
5495;2006;112919;Bloomingdale; NJ;Accord;Honda
5495;2007;135079;El Paso; TX;Accord;Honda
5500;2006;128458;Barrington; IL;Accord;Honda
5500;2006;135737;Glen Burnie; MD;Accord;Honda
5549;2007;142164;Cumming; GA;Accord;Honda
5565;2006;109194;DAPHNE; AL;Accord;Honda
5591;2009;133270;Deland; FL;Accord;Honda
5700;2006;141294;Round Rock; TX;Accord;Honda
5750;2010;138824;Paterson; NJ;Accord;Honda
5777;2006;92870;Chantilly; VA;Accord;Honda
5788;2006;125595;Manassas; VA;Accord;Honda
5791;2006;113600;Fairfax; VA;Accord;Honda
5800;2006;119928;Long Island City; NY;Accord;Honda
5831;2006;132720;Pembroke Pines; FL;Accord;Honda
5881;2007;101348;Plantation; FL;Accord;Honda
5885;2006;135052;Des Plaines; IL;Accord;Honda
5886;2007;136140;Savannah; GA;Accord;Honda
5888;2006;143186;Madison; NJ;Accord;Honda
5894;2006;135743;Tempe; AZ;Accord;Honda
5896;2006;130316;Bountiful; UT;Accord;Honda
5898;2006;133765;St. Petersburg; FL;Accord;Honda
5900;2006;101971;Highland Park; IL;Accord;Honda
5900;2007;137475;Bloomingdale; NJ;Accord;Honda
5900;2007;133636;Spokane Valley; WA;Accord;Honda
5921;2006;126660;Findlay; OH;Accord;Honda
5923;2007;108585;Schaumburg; IL;Accord;Honda
5923;2007;127294;Schaumburg; IL;Accord;Honda
5932;2007;101033;Schaumburg; IL;Accord;Honda
5967;2007;119243;Buckeye; AZ;Accord;Honda
5981;2007;108529;Tulsa; OK;Accord;Honda
5987;2007;91908;Pensacola; FL;Accord;Honda
5988;2008;115021;Lauderdale Lakes; FL;Accord;Honda
5989;2007;116113;Atlanta; GA;Accord;Honda
5990;2007;94597;Wantagh; NY;Accord;Honda
5990;2007;123660;Stevenson Ranch; CA;Accord;Honda
5990;2007;131082;Schaumburg; IL;Accord;Honda
5995;2006;79307;Saratoga Springs; NY;Accord;Honda
5995;2006;90765;Grove City; OH;Accord;Honda
5995;2006;103901;Knoxville; TN;Accord;Honda
5995;2006;115305;Oak Park; IL;Accord;Honda
5995;2006;116565;Vernon; CT;Accord;Honda
5995;2006;137179;Norwich; CT;Accord;Honda
5995;2007;98364;Orlando; FL;Accord;Honda
5995;2007;105250;Huntington Station; NY;Accord;Honda
5995;2007;109971;Port St Lucie; FL;Accord;Honda
